GL Code,GL Description,BSPL,Ind AS Major,Ind AS Minor,(Unaudited) Mar'25,Mar'25 Adjusted
10020404026,TDS receivables_FY_24-25,BS,Short-term loans and advances,Balances with statutory authorities,20.7,20.7
10020404027,TDS receivables_FY_25-26,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
10020101011,Intercompany Goods in transit,BS,Inventory,Finished goods,-7.94,-7.94
10020101016,Intercompany -due from SP,BS,Inventory,Finished goods,13.65,13.65
10020201008,Trade receivables_Intercompany,BS,Inventory,Finished goods,8833.78,8833.78
10020406001,Warranty receivables,BS,Other Financial Asset,Other receivables,6.66,6.66
10020406002,Insurance claim receivable,BS,Other Financial Asset,Other receivables,0.0,0.0
10020406003,FOC receivable,BS,Other Financial Asset,Other receivables,77.44,77.44
20010101,Deferred Tax Liabilities,BS,Deferred tax liabilities,Deferred tax liabilities,0.0,0.0
20010102,Deferred tax liability_ROU,BS,ROU,,0.0,0.0
20010201,Citi Bank Cash credit a/c,BS,Short-term Borrowings,Cash credit facilities from banks,-1163.86,-1163.86
20010202,Citi Bank OD a/c,BS,Borrowings,Loan from banks,0.0,0.0
20010203,Citi Bank WCDL a/c,BS,Short-term Borrowings,Working capital demand loan,-1600.0,-1600.0
20010204,Citi Bank_FCNR Loan,BS,Borrowings,Loan from banks,0.0,0.0
20010205,Car loan_Swift car,BS,Long-term borrowings,- Vehicle loan from banks (refer note 5.2),0.0,0.0
20010206,Car loan_Maruthi car,BS,Long-term borrowings,- Vehicle loan from banks (refer note 5.2),0.0,0.0
20010209,Car Loan_ Benz Car (HDFC Bank),BS,Long-term borrowings,- Vehicle loan from banks (refer note 5.2),-9.38,-9.38
20010210,Citi Bank_Term Loan-A/c No-D04LCRR221030001,BS,Short-term Borrowings,- Term Loan (refer note 5.2),-405.0,-405.0
20010208,Advance from Customers_Audit entry,BS,Other long-term liabilities,Advances from customers,0.0,2.67
20010207,Leasing Indebtedness Leased building,BS,ROU,,0.0,0.0
20010211,HSBC Bank Cash credit a/c,BS,Short-term Borrowings,Cash credit facilities from banks,0.0,0.0
20020101,Trade Payable to Third parties_Domestic,BS,Trade payables,Trade payables,-173.26,-269.56
20020102,Trade Payable to Third parties_Import,BS,Trade payables,Trade payables,-2340.61,-2340.61
20020115,Trade Payable to Others,BS,Trade payables,Trade payables,-93.08,-93.08
20020104,Invoice to be received from third parties,BS,Trade payables,Trade payables,0.0,0.0
20020105,Invoice to be received from group companies,BS,Trade payables,Trade payables,0.0,-70.0
20020106,Fixed asset invoices to be received,BS,Trade payables,Trade payables,0.0,0.0
20020107,Trade payable - Audit entry,BS,Trade payables,Trade payables,-112.92,-1125.86
20020108,Reinstatement gain or loss on Import payables,BS,Trade payables,Trade payables,35.53,35.53
20020109,Trade Debtors - credit Balances,BS,Trade receivables,Trade receivables considered good,0.0,0.0
20020110,Trade payable - Unallocated Receipts,BS,Trade Payables,Trade payables,0.0,0.0
20020111,Interest accured on MSME payable,BS,Trade Payables,Trade payables,0.0,0.0
20020112,GRNI(Goods Received Not Invoiced),BS,Trade payables,Trade payables,-0.49,-0.49
20020113,Advance to Suppliers,BS,Trade payables,Trade payables,0.0,0.0
20020114,AP Down Payment Interim Account,BS,Trade payables,Trade payables,0.0,0.0
20020116,Trade payable Group company,BS,Trade payables,Trade payables,0.0,0.0
20020201,Provision for Taxation FY_19-20,BS,Short term provisions,Provision for tax (net of advance tax),75.91,75.91
20020202,Provision for Taxation FY_20-21,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
20020203,Provision for Taxation FY_21-22,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
20020204,Provision for Taxation FY_22-23,BS,Short term provisions,Provision for tax (net of advance tax),12.71,12.71
20020207,Provision for Taxation FY_23-24,BS,Short term provisions,Provision for tax (net of advance tax),96.53,96.53
20020205,Current Tax Payable_ROU,BS,ROU,,0.0,0.0
20020206,Provision for Net realisable value,BS,Inventory,Less: Provision for inventory,-18.04,-18.04
20020208,Provision for Warranty,BS,Short term provisions,Provision for Warranty,-55.39,-89.46
20020209,Provision for Taxation FY_24-25,BS,Short term provisions,Provision for tax (net of advance tax),-561.18,-711.01
20020210,Provision for Taxation FY_25-26,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
20020301,Salary payable to all,BS,Other current liabilities,Employee benefits payable,-436.68,-436.68
20020302,Employee Salary with held payable,BS,Other current liabilities,Employee benefits payable,-8.55,-8.55
20020303,Employee leave tour allowance payable,BS,Other current liabilities,Employee benefits payable,0.0,0.0
20020304,Employee Cloth & Medical payable,BS,Other current liabilities,Employee benefits payable,0.0,0.0
20020305,Employee Travel expenses payable,BS,Other current liabilities,Employee benefits payable,0.0,0.0
20020313,Payable Others,BS,Trade Payables,Other Payables,0.0,0.0
20020319,Employee settlement payable,BS,Other current liabilities,Employee benefits payable,-2.65,-2.65
20020306,Sales Incentive payable,BS,Other current liabilities,Employee benefits payable,-63.84,-63.84
20020320,TA Bill Payable,BS,Other current liabilities,Employee benefits payable,-3.99,-3.99
20020307,Bonus Payable,BS,Other current liabilities,Employee benefits payable,-43.74,-43.74
20020310,Leave encashment payable,BS,Long-term provisions,Provision for compensated absences,-45.56,-73.22
20020308,Gratuity Payable,BS,Other current liabilities,Employee benefits payable,0.0,0.0
20020321,Gratuity Payable_Audit,BS,Long-term provisions,Provision for gratuity (refer note 41.2),-65.65,-50.86
20020309,Outstanding liabilities_Audit,BS,Trade Payables,Other Payables,-11.72,-14.7
20020318,Outstanding Liabilities_Regular,BS,Trade Payables,Other Payables,-97.25,-89.16
20020311,Interest payable to banks,BS,Short-term Borrowings,Cash credit facilities from banks,-20.49,-20.49
20020312,Interest accured but not due on borrowings,BS,Other current liabilities,Interest accrued but not due on borrowings,0.0,0.0
20020314,Interest accured on distributor deposits,BS,Other Financial liabilities,Deposits from Customers,0.0,-0.3
20020317,Superannuation payable,BS,Other current liabilities,Statutory liabilities,-11.27,-11.27
20020322,Lease Liability_ROU,BS,ROU,Lease liabilities,-195.79,-992.01
20020401,Prepaid service income,BS,Other Financial liabilities,Unearned service income,-120.58,-120.58
20020402,Deferred Income for Interest,BS,Other Financial liabilities,Unearned service income,0.0,0.0
20020501,ESI Payable a/c,BS,Other current liabilities,Statutory liabilities,-0.07,-0.07
20020524,ESI Payable a/c - Vendor,BS,Other current liabilities,Statutory liabilities,-0.06,-0.06
20020502,EPF Payable a/c,BS,Other current liabilities,Statutory liabilities,-17.74,-17.74
20020503,Labour welfare fund payable,BS,Other current liabilities,Statutory liabilities,0.0,0.0
20020504,Professional Tax payable,BS,Other current liabilities,Statutory liabilities,-0.21,-0.21
20020505,Endowment fund payable,BS,Other current liabilities,Employee benefits payable,-3.0,-3.0
20020506,TDS payable on Salary,BS,Other current liabilities,Statutory liabilities,0.0,0.0
20020507,TDS payable on Rent,BS,Other current liabilities,Statutory liabilities,0.0,0.0
20020508,TDS payable on Professional,BS,Other current liabilities,Statutory liabilities,0.0,0.0
20020509,TDS payable on Consultancy,BS,Other current liabilities,Statutory liabilities,0.0,0.0
20020510,TDS payable on Contracts,BS,Other current liabilities,Statutory liabilities,0.0,0.0
20020511,TDS payable on Interest,BS,Other current liabilities,Statutory liabilities,0.0,0.0
20020512,TDS payable on Commission,BS,Other current liabilities,Statutory liabilities,0.0,0.0
20020513,TDS payable on purchase of goods,BS,Other current liabilities,Statutory liabilities,0.0,0.0
20020514,TCS payable on Sales,BS,Other current liabilities,Statutory liabilities,-2.57,-2.57
20020515,TCS payable on Scarp,BS,Other current liabilities,Statutory liabilities,0.0,0.0
20020516,TCS payable on Non resident,BS,Other current liabilities,Statutory liabilities,0.0,0.0
20020530,TDS Payable controls a/c,BS,Other current liabilities,Statutory liabilities,-97.33,-97.33
20020531,TCS Payable,BS,Other current liabilities,Statutory liabilities,0.0,0.0
20020532,TDS Payable - Sec 194R,BS,Other current liabilities,Statutory liabilities,0.0,0.0
20020518,SGST Output,BS,Short-term loans and advances,Balances with statutory authorities,0.0,0.0
20020519,CGST Output,BS,Short-term loans and advances,Balances with statutory authorities,0.0,0.0
20020520,IGST Output,BS,Short-term loans and advances,Balances with statutory authorities,0.0,0.0
20020521,SGST REVERSE CHARGE OUTPUT,BS,Short-term loans and advances,Balances with statutory authorities,-19.33,-19.33
20020522,CGST REVERSE CHARGE OUTPUT,BS,Short-term loans and advances,Balances with statutory authorities,-13.39,-13.39
20020523,IGST REVERSE CHARGE OUTPUT,BS,Short-term loans and advances,Balances with statutory authorities,-107.28,-107.28
20020517,GST Payable - Chennai Branch,BS,Other current liabilities,Statutory liabilities,-23.52,-20.54
20020525,GST Payable - Bangalore Branch,BS,Other current liabilities,Statutory liabilities,-0.96,-0.96
20020526,GST Payable - Kochin Branch,BS,Other current liabilities,Statutory liabilities,-8.3,-8.3
20020527,GST Payable - Delhi Branch,BS,Other current liabilities,Statutory liabilities,-18.0,-18.0
20020528,GST Payable - Kolkata Branch,BS,Other current liabilities,Statutory liabilities,-6.15,-6.15
20020529,GST Payable - Hydrebad Branch,BS,Other current liabilities,Statutory liabilities,-10.41,-10.41
20020533,GST Payable - Mumbai Branch,BS,Other current liabilities,Statutory liabilities,-10.65,-10.65
20020534,TDS payable on brokerage,BS,Other current liabilities,Statutory liabilities,0.0,0.0
20020103,Trade Payable to Intercompanies,BS,Inventory,Finished goods,-8848.13,-8848.13
20020701,CMC - Security Deposit Fixed,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020702,Micro biological Lab(Kryptor) Security Deposit Fixed,BS,Other Financial liabilities,Deposits from Customers,-10.0,-10.0
20020703,Sivakirpa Associate - Security Deposit Fixed,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020704,Kota - SMAP - Security Deposit Fixed,BS,Other Financial liabilities,Deposits from Customers,-2.36,-2.36
20020705,North East Health - Security Deposit Fixed,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020706,Euroblot (VDC) - Security Deposit Fixed,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020707,Millennium Special Pathology Laboratory - Security Deposit Fixed,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020708,Diacare(SK AGENCY) - I FLASH 1200 KA - Security Deposit Fixed,BS,Other Financial liabilities,Deposits from Customers,-4.0,-4.0
20020709,Medical Associate Singhvi Clinical Kota - I FLASH 1200 EA - Security Deposit Fixed,BS,Other Financial liabilities,Deposits from Customers,-4.0,-4.0
20020801,Navya Hospital Dynacount 5D  - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020802,Al Azhar  - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020803,CMC(EIA)  - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020804,TARUN LAB  - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020805,Star Marketing  - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-2.06,-2.06
20020806,Euro star  - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020807,Tarun Clinical - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020808,Pentacycle Lab - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-3.85,-3.85
